20130812,66.7657,66.9500,65.2329,65.2657,91108496
20130813,69.9386,70.6657,66.8643,67.2771,220485296
20130814,71.2143,72.0357,70.4857,71.1257,189093104
20130815,71.1300,71.7714,69.8686,70.9171,122573504
20130816,71.7614,71.8486,71.2657,71.4500,90576496
20130819,72.5343,73.3914,72.0000,72.0486,127629600
20130820,71.5814,72.9386,71.5457,72.8157,89672096
20130821,71.7657,72.4500,71.6000,71.9414,83969904
20130822,71.8514,72.2271,71.1714,72.1400,61051900
20130823,71.5743,71.9071,71.3357,71.8957,55682900
20130826,71.8529,72.8857,71.5000,71.5357,82741400
20130827,69.7986,71.7871,69.4714,71.1429,106047200
20130828,70.1286,70.8286,69.4286,69.4286,76902000
20130829,70.2429,70.9286,70.1614,70.2357,59914400
20130830,69.6029,70.4214,69.5000,70.2857,68074304
20130903,69.7971,71.5143,69.6214,70.4429,82982200
20130904,71.2414,71.7486,70.8971,71.3657,86258200
20130905,70.7529,71.5257,70.5200,71.4643,59091900
20130906,71.1743,71.3400,69.9929,71.2057,89881400
20130909,72.3100,72.5600,71.9257,72.1429,85171800
20130910,70.6629,72.4929,69.9286,72.3143,185798896
20130911,66.8157,67.6700,66.4014,66.7157,224674096
20130912,67.5271,67.9143,66.5729,66.9286,101012800
20130913,66.4143,67.4043,66.3857,67.0486,74708896
20130916,64.3029,65.9443,63.8886,65.8571,135926704
20130917,65.0457,65.6729,63.9286,63.9943,99845200
20130918,66.3829,66.6214,65.8086,66.1686,114215504
20130919,67.4714,67.9757,67.0357,67.2429,101135296
20130920,66.7729,68.3643,66.5714,68.2857,174825696
20130923,70.0914,70.9871,68.9429,70.8714,190526704
20130924,69.8714,70.7814,69.6886,70.6971,91086096
20130925,68.7900,69.9486,68.7757,69.8857,79239296
20130926,69.4600,69.7943,69.1286,69.4286,59305400
20130927,68.9643,69.2386,68.6743,69.1114,57010100
20130930,68.1071,68.8086,67.7729,68.1786,65039100
20131001,69.7086,69.8771,68.3400,68.3500,88470896
20131002,69.9371,70.2571,69.1071,69.3757,72296000
20131003,69.0586,70.3357,68.6771,70.0729,80688304
20131004,69.0043,69.2286,68.3714,69.1229,64717100
20131007,69.6786,70.3786,69.3357,69.5086,78073104
20131008,68.7057,70.0914,68.6486,69.9914,72729296
20131009,69.5129,69.6843,68.3257,69.2343,75431296
20131010,69.9486,70.3400,69.5771,70.1886,69650704
20131011,70.4014,70.5486,69.3086,69.5700,66934700
20131014,70.8629,71.0829,69.9071,69.9757,65474500
20131015,71.2400,71.7143,70.7886,71.0729,80018400
20131016,71.5871,71.7900,71.3186,71.5414,62775300
20131017,72.0714,72.1114,71.3829,71.4257,63398300
20131018,72.6986,72.7514,72.2443,72.2843,72635504
20131021,74.4800,74.9000,73.0743,73.1100,99526704
20131022,74.2671,75.4929,72.5757,75.2014,133515904
20131023,74.9943,75.0957,74.1429,74.1429,78430800
20131024,75.9871,76.0671,74.6357,75.0000,96191200
20131025,75.1371,76.1757,75.0157,75.9029,84448000
